year,death
1983,0
1983,2
1983,5
1983,8
1983,11
1983,14
1983,17
1983,20
1983,23
1983,26
1983,29
1983,32
1983,35
1983,38
1983,41
1983,0
1983,2
1983,5
1983,8
1983,11
1983,14
1983,17
1983,20
1983,23
1983,26
1983,29
1983,32
1983,35
1983,38
1983,41
1984,0
1984,2
1984,5
1984,8
1984,11
1984,14
1984,17
1984,20
1984,23
1984,26
1984,29
1984,32
1984,35
1984,38
1984,41
1984,0
1984,2
1984,5
1984,8
1984,11
1984,14
1984,17
1984,20
1984,23
1984,26
1984,29
1984,32
1984,35
1984,38
1984,41
1984,0
1984,2
1984,5
1984,8
1984,11
1984,14
1984,17
1984,20
1984,23
1984,26
1984,29
1984,32
1984,35
1984,38
1984,41
1984,0
1984,2
1984,5
1984,8
1984,11
1984,14
1984,17
1984,20
1984,23
1984,26
1984,29
1984,32
1984,35
1984,38
1984,41
1985,0
1985,2
1985,5
1985,8
1985,11
1985,14
1985,17
1985,20
1985,23
1985,26
1985,29
1985,32
1985,35
1985,38
1985,41
1985,0
1985,2
1985,5
1985,8
1985,11
1985,14
1985,17
1985,20
1985,23
1985,26
1985,29
1985,32
1985,35
1985,38
1985,41
1985,0
1985,2
1985,5
1985,8
1985,11
1985,14
1985,17
1985,20
1985,23
1985,26
1985,29
1985,32
1985,35
1985,38
1985,41
1985,0
1985,2
1985,5
1985,8
1985,11
1985,14
1985,17
1985,20
1985,23
1985,26
1985,29
1985,32
1985,35
1985,38
1985,41
1986,0
1986,2
1986,5
1986,8
1986,11
1986,14
1986,17
1986,20
1986,23
1986,26
1986,29
1986,32
1986,35
1986,38
1986,41
1986,0
1986,2
1986,5
1986,8
1986,11
1986,14
1986,17
1986,20
1986,23
1986,26
1986,29
1986,32
1986,35
1986,38
1986,41
1986,0
1986,2
1986,5
1986,8
1986,11
1986,14
1986,17
1986,20
1986,23
1986,26
1986,29
1986,32
1986,35
1986,38
1986,41
1986,0
1986,2
1986,5
1986,8
1986,11
1986,14
1986,17
1986,20
1986,23
1986,26
1986,29
1986,32
1986,35
1986,38
1986,41
1987,0
1987,2
1987,5
1987,8
1987,11
1987,14
1987,17
1987,20
1987,23
1987,26
1987,29
1987,32
1987,35
1987,38
1987,41
1987,0
1987,2
1987,5
1987,8
1987,11
1987,14
1987,17
1987,20
1987,23
1987,26
1987,29
1987,32
1987,35
